request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay the full request today. The forecast reserves 10374000 for Residential rent payment on 2025-10-03.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay the full request today. The forecast reserves 8360 for Monthly rent on 2026-09-04.
request_28,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 358.6 for Shared housing rent on 2024-09-01.
request_29,47593.45,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 5170 for School fee payment on 2026-01-08.
request_30,730.91,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,,stop:event_2694,Use the supplied installment schedule totaling 806.22 after these permitted changes: stop:event_2694. The forecast reserves 396 for Landlord standing order on 2026-07-03.
request_31,3685155.15,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 6080000 for Residential rent payment on 2024-11-04.
request_32,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 15664 for Monthly rent on 2025-05-01.
request_33,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 41900 for Apartment rent transfer on 2026-04-02.
request_34,125346.75,affordable_with_plan,full_payment,2024-12-04:129400,,stop:event_3085,Pay the full request today after these permitted changes: stop:event_3085. The forecast reserves 51200 for Monthly rent on 2025-03-03.
request_35,1781.13,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 37000 for Shared housing rent on 2026-01-04.
request_36,1039.66,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 260 for Home association fee on 2026-09-02.
request_37,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 6802000 for Monthly rent on 2024-06-02.
request_38,298.4,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 68 for Property maintenance contribution on 2025-11-04.
request_39,160691.73,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Wait and pay the full request on 2026-04-15. The forecast reserves 78000 for Residential rent payment on 2026-06-04.
request_40,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 581.9 for Shared housing rent on 2024-09-01.
request_41,13486551.69,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,Wait and pay the full request on 2025-11-15. The forecast reserves 9481000 for Residential rent payment on 2026-01-02.
request_42,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 40200 for Apartment rent transfer on 2026-04-03.
request_43,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 8911000 for Monthly rent on 2024-12-04.
request_44,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 30200 for Apartment rent transfer on 2025-05-01.
request_45,7003241.86,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 1805000 for Building maintenance payment on 2026-10-03.
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,Use the supplied installment schedule totaling 51428. The forecast reserves 33800 for Shared housing rent on 2025-03-03.
request_47,11440871.72,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 12065000 for Shared housing rent on 2025-07-04.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay the full request today. The forecast reserves 25200 for Apartment rent transfer on 2026-10-01.
request_49,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 9747000 for Shared housing rent on 2024-06-02.
request_50,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 38800 for Monthly rent on 2025-11-03.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay the full request today. The forecast reserves 2945000 for Residential rent payment on 2026-03-04.
request_52,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 21100 for Monthly rent on 2024-09-01.
request_53,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 774 for Residential rent payment on 2026-02-02.
request_54,10951.16,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 3630 for Home association fee on 2026-09-04.
request_55,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 54400 for Apartment rent transfer on 2026-09-04.
request_56,881.56,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-03,none,Use the supplied installment schedule totaling 916.84. The forecast reserves 212 for Home association fee on 2025-05-02.
request_57,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 15004 for Monthly rent on 2026-07-02.
request_58,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 7676000 for Landlord standing order on 2025-03-03.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Use the supplied installment schedule totaling 146223.99. The forecast reserves 53800 for Monthly rent on 2025-07-04.
request_60,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 122.4 for Apartment rent transfer on 2026-04-01.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Use the supplied installment schedule totaling 30224.49. The forecast reserves 11792 for Landlord standing order on 2024-05-02.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay the full request today. The forecast reserves 530.4 for Monthly rent on 2025-11-03.
request_63,62103.01,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 50000 for Monthly rent on 2026-10-04.
request_64,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 79679.26 for Large grocery tax invoice on 2024-06-10.
request_65,10689.8,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 2519 for Home association fee on 2026-02-03.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay the full request today. The forecast reserves 26300 for Apartment rent transfer on 2026-06-03.
request_67,448.05,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 514.8 for Monthly rent on 2024-12-04.
request_68,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 750 for Apartment rent transfer on 2025-05-01.
request_69,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 388.3 for Monthly rent on 2026-04-02.
request_70,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 66100 for Landlord standing order on 2025-03-03.
request_71,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 3648000 for Apartment rent transfer on 2025-07-04.
request_72,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 4312 for Apartment rent transfer on 2026-10-01.
request_73,12231.85,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 37300 for Residential rent payment on 2023-04-02.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay the full request today. The forecast reserves 7590 for Shared housing rent on 2025-10-03.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,stop:event_6960,Use the supplied installment schedule totaling 29400.81 after these permitted changes: stop:event_6960. The forecast reserves 15642 for Shared housing rent on 2026-07-04.
request_76,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 694.8 for Shared housing rent on 2024-09-01.
request_77,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 25200 for Apartment rent transfer on 2026-02-02.
request_78,33419.37,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 28200 for Shared housing rent on 2025-12-03.
request_79,848.21,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 386.1 for Monthly rent on 2024-11-04.
request_80,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 52000 for Residential rent payment on 2025-05-01.
request_81,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 926.4 for Apartment rent transfer on 2026-09-02.
request_82,0,not_affordable,not_recommended,none,,none,Do not make this payment under the available safe plans. The forecast reserves 405.6 for Shared housing rent on 2025-03-03.
